make,model,variant,battery_capacity_kWh,motor_power_kW,vehicle_weight_kg,motor_efficiency_pct,ARAI_certified_range_km,avg_driving_speed_kmh,ambient_temperature_C,traffic_condition,real_world_range_km,log_motor_power,log_avg_speed
Rolls-Royce,Spectre,Standard,87.6,430,2975,94,530,18.8,25.4,2,403.8,6.066108090103747,2.9856819377004897
BMW,i5,eDrive40,75.6,250,2215,94,582,30.4,29.8,1,70.4,5.5254529391317835,3.4468078929142076
Tata,Curvv EV,Long Range,52.7,150,1780,92,585,33.8,39.5,2,208.9,5.017279836814924,3.5496173867804286
Mini,Countryman E,ALL4,61.5,230,2055,93,462,94.0,41.0,1,172.5,5.442417710521793,4.553876891600541
BYD,e6,GL,61.4,70,2380,88,415,30.8,18.5,2,266.8,4.2626798770413155,3.459466289786131
Tata,Nexon EV,Medium Range,28.5,105,1560,91,325,18.0,17.7,1,237.4,4.663439094112067,2.9444389791664403
Mahindra,XEV 9e,Long Range,53.3,175,1900,93,542,23.1,12.4,2,240.2,5.170483995038151,3.1822118404966093
Mahindra,XUV400,EC Pro,31.1,110,1560,90,375,25.7,34.8,2,279.4,4.709530201312334,3.2846635654062037
BMW,i7,xDrive60,87.7,400,2720,94,625,17.3,28.7,1,560.9,5.993961427306569,2.9069010598473755
Tata,Punch EV,Smart,24.0,60,1280,90,315,20.0,37.6,1,299.25,4.110873864173311,3.044522437723423
Tata,Nexon EV,Prime LR,38.2,105,1620,91,465,22.3,29.3,2,144.0,4.663439094112067,3.148453360571655
Kia,EV6,Long Range AWD,67.6,239,2140,93,708,88.9,35.5,1,323.1,5.480638923341991,4.498697941477575
Tata,Nexon EV,Prime LR,35.8,105,1620,91,465,86.1,22.5,1,128.5,4.663439094112067,4.467056883858457
BYD,Seal,Performance,79.8,390,2150,94,580,20.9,31.1,1,333.7,5.968707559985366,3.086486636822455
Kia,EV9,Long Range AWD,97.1,283,2630,93,561,88.8,41.7,0,232.9,5.648974238161206,4.497584975308154
Volvo,XC40 Recharge,Twin Motor,66.2,300,2170,92,438,34.8,23.0,0,211.5,5.707110264748875,3.5779478934066544
Mahindra,XUV400,EL Pro,38.9,110,1580,90,456,19.8,34.6,2,130.9,4.709530201312334,3.0349529867072724
Audi,e-tron GT,RS,84.0,440,2420,94,481,29.9,14.4,2,48.1,6.089044875446846,3.4307561839036995
Hyundai,Creta EV,Medium Range,40.0,110,1620,92,390,32.8,6.3,2,39.0,4.709530201312334,3.520460802488973
MG,Cloud EV,Long Range,45.3,135,1700,91,460,22.8,33.8,2,93.9,4.912654885736052,3.169685580677429
BYD,eMAX 7,Premium,62.3,150,2135,91,530,22.2,16.7,2,78.5,5.017279836814924,3.144152278672264
Tata,Nexon EV,Medium Range,30.2,105,1560,91,325,38.4,16.9,1,233.0,4.663439094112067,3.673765816303888
Smart,#1 Pro+,Standard,58.5,200,1820,92,440,20.8,25.6,2,99.1,5.303304908059076,3.0819099697950434
BMW,i5,eDrive40,76.6,250,2215,94,582,17.5,39.7,1,221.5,5.5254529391317835,2.917770732084279
BMW,iX,xDrive50,98.3,385,2590,94,635,18.7,36.1,1,542.5,5.955837369464831,2.9806186357439426
BYD,Atto 3,Standard Range,43.6,150,1690,92,410,16.8,33.7,2,82.9,5.017279836814924,2.8791984572980396
Tata,Sierra EV,Long Range,53.7,165,1900,92,480,22.5,30.9,2,362.1,5.111987788356544,3.157000421150113
Hyundai,Creta EV,Long Range,49.2,135,1690,92,473,103.0,17.2,0,249.2,4.912654885736052,4.6443908991413725
Jaguar,I-PACE,EV400,76.6,294,2208,92,470,95.8,24.9,0,378.8,5.68697535633982,4.572646994282532
Toyota,Urban Cruiser EV,Long Range,56.8,144,1740,93,490,18.5,37.4,1,168.0,4.976733742420574,2.970414465569701
Volvo,XC40 Recharge,Single Motor,67.6,170,2000,92,418,34.3,29.8,2,81.8,5.14166355650266,3.563882963939251
Volvo,C40 Recharge,Single Motor,67.6,170,1990,92,476,20.0,18.2,1,117.1,5.14166355650266,3.044522437723423
Audi,e-tron,55 quattro,80.0,300,2595,92,484,59.2,20.8,0,394.2,5.707110264748875,4.097672352314776
Volvo,XC40 Recharge,Twin Motor,74.8,300,2170,92,438,18.7,27.1,2,381.7,5.707110264748875,2.9806186357439426
Tata,Curvv EV,Medium Range,44.6,120,1720,92,502,39.9,19.8,1,81.3,4.795790545596741,3.7111300630487563
Volvo,C40 Recharge,Single Motor,64.9,170,1990,92,476,36.3,27.5,2,53.3,5.14166355650266,3.6189933266497696
BMW,iX1,xDrive30,60.6,230,2080,93,440,30.6,28.2,2,393.3,5.442417710521793,3.4531571205928664
Tata,Curvv EV,Long Range,51.4,150,1780,92,585,114.1,30.7,0,311.4,5.017279836814924,4.745801315727837
Toyota,Urban Cruiser EV,Long Range,57.3,144,1740,93,490,20.5,33.0,2,124.8,4.976733742420574,3.068052935133617
BYD,Seal,Dynamic,59.4,150,1860,94,510,80.8,19.5,1,282.9,5.017279836814924,4.404277243608702
BYD,Atto 3,Extended Range,59.6,150,1750,92,521,16.2,29.0,1,231.2,5.017279836814924,2.8449093838194073
BMW,iX1,xDrive30,60.8,230,2080,93,440,19.2,26.3,1,275.2,5.442417710521793,3.005682604407159
Tata,Nexon EV,Prime LR,36.5,105,1620,91,465,106.3,28.9,1,120.0,4.663439094112067,4.675628649636653
BMW,iX,xDrive50,96.4,385,2590,94,635,26.9,31.1,0,445.4,5.955837369464831,3.32862668882732
Maruti Suzuki,e Vitara,Medium Range,44.3,106,1620,93,400,18.0,40.0,2,96.7,4.672828834461906,2.9444389791664403
Audi,e-tron GT,RS,73.2,440,2420,94,481,17.0,38.5,1,388.8,6.089044875446846,2.8903717578961645
BYD,e6,GL,68.9,70,2380,88,415,16.6,15.4,0,140.2,4.2626798770413155,2.8678989020441064
BYD,Atto 3,Standard Range,47.7,150,1690,92,410,28.5,26.9,2,203.9,5.017279836814924,3.3843902633457743
Porsche,Taycan,Turbo S,77.7,560,2380,94,507,29.8,6.3,0,116.8,6.329720905522696,3.427514689979529
Jaguar,I-PACE,EV400,81.7,294,2208,92,470,27.0,35.6,2,285.4,5.68697535633982,3.332204510175204
Kia,EV9,Long Range AWD,84.8,283,2630,93,561,20.2,16.3,2,82.6,5.648974238161206,3.054001181677967
Tata,Nexon EV,Long Range,37.6,105,1610,91,465,38.9,11.2,1,348.0,4.663439094112067,3.686376323895818
Tata,Tiago EV,Medium Range,18.3,45,1073,90,250,31.9,18.6,0,237.5,3.828641396489095,3.493472657771326
Kia,EV6,Long Range AWD,77.4,239,2140,93,708,22.2,19.6,2,70.8,5.480638923341991,3.144152278672264
Smart,#1 Pro+,Standard,61.6,200,1820,92,440,21.4,12.7,2,176.3,5.303304908059076,3.109060958860994
Toyota,Urban Cruiser EV,Long Range,60.6,144,1740,93,490,24.7,23.0,0,97.6,4.976733742420574,3.246490991901174
Mercedes,EQA,250+,60.9,140,1960,92,528,82.3,28.8,0,501.6,4.948759890378168,4.422448549172797
Hyundai,Creta EV,Long Range,44.2,135,1690,92,473,27.7,18.3,1,123.2,4.912654885736052,3.3568971227655755
MG,Comet EV,Standard,16.1,30,840,89,230,13.9,30.7,1,80.7,3.4339872044851463,2.7013612129514133
BYD,Atto 3,Standard Range,44.5,150,1690,92,410,80.0,27.0,0,289.0,5.017279836814924,4.394449154672439
Maruti Suzuki,e Vitara,Medium Range,48.3,106,1620,93,400,12.3,41.1,2,78.3,4.672828834461906,2.5877640352277083
Volvo,C40 Recharge,Single Motor,62.2,170,1990,92,476,16.0,25.9,2,174.8,5.14166355650266,2.833213344056216
Porsche,Taycan,Turbo S,75.2,560,2380,94,507,82.2,42.6,2,221.3,6.329720905522696,4.421247347827163
Porsche,Taycan,4S,71.8,360,2295,94,512,80.3,42.0,0,486.4,5.8888779583328805,4.398146016553765
Tata,Nexon EV,Long Range,34.9,105,1610,91,465,104.3,19.6,0,274.8,4.663439094112067,4.6568134191399295
Citroen,eC3,Shine,27.2,57,1215,89,320,36.2,17.6,0,304.0,4.060443010546419,3.616308761279101
BMW,i4,eDrive40,74.9,250,2125,94,590,25.8,17.6,2,272.8,5.5254529391317835,3.288401887516811
Tata,Sierra EV,Long Range,58.0,165,1900,92,480,18.0,37.3,1,456.0,5.111987788356544,2.9444389791664403
Mahindra,BE 6,Long Range,55.1,175,1850,93,556,17.4,14.7,1,73.5,5.170483995038151,2.91235066461494
Mahindra,XUV400,EC Pro,33.6,110,1560,90,375,28.1,19.5,2,48.9,4.709530201312334,3.370738174177447
BYD,e6,GL,65.5,70,2380,88,415,42.3,27.3,0,394.25,4.2626798770413155,3.768152635008444
Smart,#1 Pro+,Standard,54.4,200,1820,92,440,117.6,42.0,0,165.9,5.303304908059076,4.775756486563625
Hyundai,Creta EV,Long Range,48.9,135,1690,92,473,18.0,12.6,2,188.3,4.912654885736052,2.9444389791664403
Tata,Sierra EV,Long Range,58.4,165,1900,92,480,44.9,34.9,0,456.0,5.111987788356544,3.8264651170664994
BYD,e6,GL,64.2,70,2380,88,415,28.2,41.5,0,394.25,4.2626798770413155,3.374168709274236
Porsche,Taycan,Turbo S,77.7,560,2380,94,507,22.8,41.7,2,344.0,6.329720905522696,3.169685580677429
Audi,Q8 e-tron,55 quattro,85.6,300,2620,93,582,18.4,19.0,2,322.2,5.707110264748875,2.9652730660692823
Tata,Curvv EV,Medium Range,42.3,120,1720,92,502,26.0,12.2,2,272.9,4.795790545596741,3.295836866004329
Citroen,eC3,Feel,27.0,57,1200,89,320,23.5,35.3,1,120.2,4.060443010546419,3.1986731175506815
Mahindra,XUV.e8,Long Range,56.8,175,2050,92,450,89.6,25.8,1,325.8,5.170483995038151,4.506454213048934
MG,Windsor EV,Long Range,37.0,100,1490,91,331,38.0,19.3,0,314.45,4.61512051684126,3.6635616461296463
BYD,eMAX 7,Premium,64.9,150,2135,91,530,33.4,12.6,0,169.0,5.017279836814924,3.5380565643793527
Volvo,XC40 Recharge,Twin Motor,68.2,300,2170,92,438,36.4,33.8,2,114.1,5.707110264748875,3.6216707044204863
Hyundai,Creta EV,Long Range,48.3,135,1690,92,473,22.1,14.4,0,77.3,4.912654885736052,3.139832617527748
Porsche,Taycan,Turbo S,71.4,560,2380,94,507,81.6,21.3,1,397.4,6.329720905522696,4.414009680526933
Mahindra,BE 6,Long Range,54.0,175,1850,93,556,113.7,25.1,1,212.2,5.170483995038151,4.742320024135325
MG,Cloud EV,Long Range,45.1,135,1700,91,460,35.0,25.2,2,201.0,4.912654885736052,3.58351893845611
BMW,i5,eDrive40,69.3,250,2215,94,582,26.9,38.9,1,217.2,5.5254529391317835,3.32862668882732
Hyundai,Ioniq 5,Long Range RWD,66.3,160,1980,93,631,27.7,24.2,1,246.1,5.081404364984463,3.3568971227655755
Maruti Suzuki,e Vitara,Long Range,59.5,144,1710,93,500,31.2,41.3,0,475.0,4.976733742420574,3.4719664525503626
Tata,Curvv EV,Long Range,53.7,150,1780,92,585,30.5,19.1,0,134.4,5.017279836814924,3.449987545831587
Smart,#1 Pro+,Standard,56.6,200,1820,92,440,34.8,35.1,2,90.9,5.303304908059076,3.5779478934066544
BMW,i5,eDrive40,71.2,250,2215,94,582,29.5,18.8,2,238.7,5.5254529391317835,3.417726683613366
Mahindra,XUV400,EL Pro,35.7,110,1580,90,456,41.0,42.2,0,391.3,4.709530201312334,3.7376696182833684
Volvo,C40 Recharge,Single Motor,59.7,170,1990,92,476,30.0,39.1,0,150.1,5.14166355650266,3.4339872044851463
Tata,Nexon EV,Medium Range,27.7,105,1560,91,325,15.3,37.5,1,228.2,4.663439094112067,2.791165107812717
BMW,iX,xDrive50,103.0,385,2590,94,635,76.7,41.4,1,334.1,5.955837369464831,4.3528552573736015
Tata,Sierra EV,Long Range,56.9,165,1900,92,480,37.7,30.5,0,456.0,5.111987788356544,3.655839600035736
BYD,Atto 3,Standard Range,48.4,150,1690,92,410,25.1,37.7,2,231.1,5.017279836814924,3.261935314328648
Hyundai,Creta EV,Long Range,51.4,135,1690,92,473,39.3,34.3,2,92.4,4.912654885736052,3.696351468952637
BYD,eMAX 7,Premium,63.0,150,2135,91,530,27.3,22.3,0,69.7,5.017279836814924,3.342861804649192
Audi,e-tron GT,RS,83.7,440,2420,94,481,25.1,25.1,1,56.4,6.089044875446846,3.261935314328648
Kia,EV6,Long Range AWD,66.5,239,2140,93,708,24.6,35.6,2,194.0,5.480638923341991,3.242592351485517
BYD,Seal,Dynamic,58.5,150,1860,94,510,23.4,22.9,2,259.9,5.017279836814924,3.1945831322991562
Toyota,Urban Cruiser EV,Long Range,58.4,144,1740,93,490,83.6,38.2,1,196.5,4.976733742420574,4.437934266612178
MG,Windsor EV,Long Range,36.1,100,1490,91,331,33.4,30.4,2,237.0,4.61512051684126,3.5380565643793527
Citroen,eC3,Feel,26.7,57,1200,89,320,18.4,37.3,0,78.8,4.060443010546419,2.9652730660692823
Audi,e-tron,55 quattro,86.2,300,2595,92,484,28.7,34.8,1,102.6,5.707110264748875,3.391147045808654
Mahindra,XUV400,EC Pro,29.8,110,1560,90,375,95.3,20.9,1,185.8,4.709530201312334,4.56746831880408
Volvo,C40 Recharge,Single Motor,64.0,170,1990,92,476,22.7,28.9,1,336.1,5.14166355650266,3.1654750481410856
Audi,e-tron,55 quattro,77.7,300,2595,92,484,24.4,24.2,1,48.400000000000006,5.707110264748875,3.2347491740244907
Mahindra,XUV400,EL Pro,35.5,110,1580,90,456,12.7,40.0,2,81.1,4.709530201312334,2.617395832834079
Mahindra,XUV400,EC Pro,32.0,110,1560,90,375,55.1,32.2,1,317.7,4.709530201312334,4.027135812528651
Audi,e-tron GT,RS,82.2,440,2420,94,481,88.7,36.9,0,306.5,6.089044875446846,4.49647076906475
Kia,EV6,Long Range RWD,67.9,168,1980,93,708,33.9,26.2,2,534.3,5.1298987149230735,3.5524868292083815
Tata,Tiago EV,Long Range,23.5,55,1110,90,315,21.4,20.3,0,270.2,4.02535169073515,3.109060958860994
BMW,iX,xDrive50,97.0,385,2590,94,635,33.1,28.7,1,584.2,5.955837369464831,3.529297384289471
MG,ZS EV,Excite,39.7,130,1590,91,400,93.0,38.9,1,218.0,4.875197323201151,4.543294782270004
BMW,i5,eDrive40,75.8,250,2215,94,582,18.1,37.6,0,260.3,5.5254529391317835,2.9496883350525844
Citroen,eC3,Shine,27.0,57,1215,89,320,18.3,31.2,2,111.9,4.060443010546419,2.9601050959108397
Tata,Tiago EV,Long Range,22.9,55,1110,90,315,33.8,30.8,0,105.2,4.02535169073515,3.5496173867804286
Hyundai,Ioniq 5,Long Range AWD,72.2,225,2100,93,631,26.1,27.1,2,405.6,5.420534999272286,3.299533727885655
Tata,Harrier EV,Long Range,58.4,165,1950,92,500,26.3,10.6,0,127.7,5.111987788356544,3.306886702190914
BMW,i5,eDrive40,75.8,250,2215,94,582,19.4,29.0,2,313.3,5.5254529391317835,3.0155349008501706
Toyota,Urban Cruiser EV,Long Range,60.5,144,1740,93,490,32.5,7.5,1,66.0,4.976733742420574,3.5115454388310208
Tata,Nexon EV,Prime LR,34.4,105,1620,91,465,27.0,26.9,2,136.8,4.663439094112067,3.332204510175204
Maruti Suzuki,e Vitara,Medium Range,44.3,106,1620,93,400,80.5,33.8,2,161.3,4.672828834461906,4.400603020246817
Rolls-Royce,Spectre,Standard,98.3,430,2975,94,530,39.7,16.4,2,58.7,6.066108090103747,3.7062280924485496
Hyundai,Ioniq 5,Long Range AWD,72.2,225,2100,93,631,23.0,28.5,1,203.5,5.420534999272286,3.1780538303479458
Hyundai,Ioniq 5,Long Range RWD,70.2,160,1980,93,631,33.9,26.2,1,599.4499999999999,5.081404364984463,3.5524868292083815
Mahindra,XUV.e8,Long Range,55.1,175,2050,92,450,34.9,18.6,1,427.5,5.170483995038151,3.580737295494233
Tata,Tigor EV,Ziptron,25.9,55,1235,90,306,86.5,38.6,0,196.0,4.02535169073515,4.471638793363569
Mahindra,BE 6,Long Range,51.9,175,1850,93,556,18.5,41.4,1,448.2,5.170483995038151,2.970414465569701
Audi,Q8 e-tron,55 quattro,90.7,300,2620,93,582,112.8,26.1,0,447.3,5.707110264748875,4.73444252169223
Citroen,eC3,Shine,26.3,57,1215,89,320,31.6,23.8,1,76.6,4.060443010546419,3.484312288372662
Mahindra,XUV400,EL Pro,34.2,110,1580,90,456,12.7,19.5,2,229.6,4.709530201312334,2.617395832834079
Citroen,eC3,Shine,27.3,57,1215,89,320,34.7,28.6,1,304.0,4.060443010546419,3.5751506887855933
BMW,i7,xDrive60,95.6,400,2720,94,625,20.4,16.4,2,403.5,5.993961427306569,3.0633909220278057
BMW,i7,xDrive60,90.4,400,2720,94,625,84.9,15.0,0,554.3,5.993961427306569,4.45318382899021
MG,Cloud EV,Long Range,50.1,135,1700,91,460,23.3,15.0,0,118.0,4.912654885736052,3.190476350346503
Maruti Suzuki,e Vitara,Medium Range,47.5,106,1620,93,400,17.0,23.9,1,69.8,4.672828834461906,2.8903717578961645
Maruti Suzuki,e Vitara,Long Range,52.4,144,1710,93,500,38.8,14.8,0,202.8,4.976733742420574,3.6838669122903918
MG,Comet EV,Standard,16.8,30,840,89,230,24.1,25.1,2,148.6,3.4339872044851463,3.2228678461377385
MG,ZS EV,Excite,44.1,130,1590,91,400,18.5,16.8,0,130.9,4.875197323201151,2.970414465569701
MG,Comet EV,Standard,15.2,30,840,89,230,18.7,39.9,0,124.1,3.4339872044851463,2.9806186357439426
Porsche,Taycan,4S,76.8,360,2295,94,512,49.4,37.4,1,486.4,5.8888779583328805,3.919991175077323
Mahindra,XUV400,EL Pro,35.4,110,1580,90,456,22.3,21.4,1,295.4,4.709530201312334,3.148453360571655
Mahindra,BE 6,Long Range,53.0,175,1850,93,556,25.3,16.5,1,75.9,5.170483995038151,3.269568939183719
BYD,Seal,Dynamic,56.8,150,1860,94,510,36.2,31.0,1,132.4,5.017279836814924,3.616308761279101
BMW,i7,xDrive60,90.4,400,2720,94,625,19.6,36.2,2,406.7,5.993961427306569,3.0252910757955354
Citroen,eC3,Shine,25.4,57,1215,89,320,14.5,18.9,1,274.9,4.060443010546419,2.740840023925201
Mahindra,XUV400,EL Pro,34.8,110,1580,90,456,22.3,24.7,2,45.6,4.709530201312334,3.148453360571655
BMW,i4,eDrive40,76.1,250,2125,94,590,25.4,21.1,2,257.9,5.5254529391317835,3.2733640101522705
Audi,e-tron,55 quattro,80.5,300,2595,92,484,31.4,24.9,2,193.5,5.707110264748875,3.4781584227982836
Kia,EV9,Long Range AWD,91.7,283,2630,93,561,24.9,26.8,1,407.4,5.648974238161206,3.254242968705492
Porsche,Taycan,4S,69.5,360,2295,94,512,107.7,30.2,0,486.4,5.8888779583328805,4.688591794127164
Mahindra,BE 6,Long Range,53.9,175,1850,93,556,15.1,15.6,1,490.4,5.170483995038151,2.7788192719904172
MG,Cloud EV,Long Range,48.6,135,1700,91,460,28.6,35.4,1,437.0,4.912654885736052,3.3877743613300146
Tata,Nexon EV,Long Range,35.2,105,1610,91,465,100.2,22.6,0,263.1,4.663439094112067,4.617098756853365
Mahindra,XUV.e8,Long Range,53.7,175,2050,92,450,28.4,14.0,1,174.4,5.170483995038151,3.380994674344636
Porsche,Taycan,4S,68.3,360,2295,94,512,34.3,24.2,1,486.4,5.8888779583328805,3.563882963939251
Mahindra,XUV.e8,Long Range,52.3,175,2050,92,450,15.5,28.4,1,99.3,5.170483995038151,2.803360380906535
Mahindra,XEV 9e,Long Range,50.3,175,1900,93,542,26.2,32.5,1,108.6,5.170483995038151,3.3032169733019514
Kia,EV9,Long Range AWD,98.3,283,2630,93,561,86.2,25.2,0,360.0,5.648974238161206,4.468204330914934
BMW,iX,xDrive50,97.3,385,2590,94,635,19.5,41.1,1,572.1,5.955837369464831,3.0204248861443626
Volvo,C40 Recharge,Single Motor,59.9,170,1990,92,476,32.9,33.8,1,47.6,5.14166355650266,3.5234150143864045
Mercedes,EQA,250+,59.3,140,1960,92,528,34.4,35.1,1,406.6,4.948759890378168,3.5667118201397288
Hyundai,Creta EV,Long Range,49.7,135,1690,92,473,32.7,27.7,2,281.4,4.912654885736052,3.517497837358316
MG,ZS EV,Excite,40.2,130,1590,91,400,30.7,21.8,2,263.2,4.875197323201151,3.456316680883235
Volvo,XC40 Recharge,Twin Motor,64.0,300,2170,92,438,15.1,20.1,2,104.3,5.707110264748875,2.7788192719904172
Maruti Suzuki,e Vitara,Medium Range,41.8,106,1620,93,400,31.3,11.1,1,41.2,4.672828834461906,3.475067230228611
Citroen,eC3,Feel,26.7,57,1200,89,320,25.7,27.2,0,57.2,4.060443010546419,3.2846635654062037
Jaguar,I-PACE,EV400,77.6,294,2208,92,470,31.6,40.8,2,153.7,5.68697535633982,3.484312288372662
Volvo,XC40 Recharge,Twin Motor,68.0,300,2170,92,438,23.0,31.8,2,219.7,5.707110264748875,3.1780538303479458
Kia,EV6,Long Range AWD,66.7,239,2140,93,708,31.3,24.7,1,198.2,5.480638923341991,3.475067230228611
Porsche,Taycan,4S,79.2,360,2295,94,512,22.6,35.5,1,293.9,5.8888779583328805,3.1612467120315646
MG,Comet EV,Standard,15.6,30,840,89,230,18.9,45.8,2,150.9,3.4339872044851463,2.990719731730447
BMW,iX1,xDrive30,60.0,230,2080,93,440,32.9,26.5,0,161.3,5.442417710521793,3.5234150143864045
Mahindra,XEV 9e,Long Range,57.4,175,1900,93,542,24.9,15.9,2,94.8,5.170483995038151,3.254242968705492
Tata,Punch EV,Long Range,34.1,90,1355,91,421,18.2,29.9,0,239.3,4.51085950651685,2.9549102790337356
BYD,Seal,Performance,74.8,390,2150,94,580,19.4,32.6,2,58.0,5.968707559985366,3.0155349008501706
Tata,Nexon EV,Medium Range,26.8,105,1560,91,325,37.0,35.0,0,106.0,4.663439094112067,3.6375861597263857
Volvo,XC40 Recharge,Twin Motor,66.5,300,2170,92,438,17.3,42.0,2,135.1,5.707110264748875,2.9069010598473755
Mercedes,EQA,250+,65.3,140,1960,92,528,15.3,33.1,2,194.4,4.948759890378168,2.791165107812717
BYD,Atto 3,Standard Range,46.6,150,1690,92,410,74.3,22.7,0,353.0,5.017279836814924,4.321480134805848
MG,Comet EV,Standard,15.5,30,840,89,230,23.8,13.9,2,50.8,3.4339872044851463,3.2108436531709366
Hyundai,Creta EV,Medium Range,38.1,110,1620,92,390,20.2,31.5,2,101.4,4.709530201312334,3.054001181677967
Kia,EV9,Long Range AWD,91.7,283,2630,93,561,31.8,19.0,1,318.5,5.648974238161206,3.4904285153900982
MG,Cloud EV,Long Range,46.7,135,1700,91,460,24.1,23.2,2,294.4,4.912654885736052,3.2228678461377385
Tata,Nexon EV,Long Range,38.7,105,1610,91,465,27.8,20.1,0,126.1,4.663439094112067,3.3603753871419
Jaguar,I-PACE,EV400,83.9,294,2208,92,470,30.8,15.6,2,318.4,5.68697535633982,3.459466289786131
Mahindra,XUV400,EL Pro,37.3,110,1580,90,456,52.6,20.8,1,308.9,4.709530201312334,3.9815490680767565
Audi,Q8 e-tron,55 quattro,91.0,300,2620,93,582,19.0,36.1,2,193.3,5.707110264748875,2.995732273553991
Tata,Curvv EV,Long Range,52.2,150,1780,92,585,29.0,40.0,2,159.9,5.017279836814924,3.4011973816621555
Volvo,C40 Recharge,Single Motor,65.1,170,1990,92,476,20.7,20.5,0,64.8,5.14166355650266,3.077312260546414
Citroen,eC3,Feel,25.6,57,1200,89,320,20.9,18.3,0,59.4,4.060443010546419,3.086486636822455
Volvo,C40 Recharge,Single Motor,60.3,170,1990,92,476,32.5,16.5,2,63.5,5.14166355650266,3.5115454388310208
BYD,Seal,Dynamic,55.3,150,1860,94,510,37.1,40.1,2,135.4,5.017279836814924,3.6402142821326553
Tata,Punch EV,Long Range,30.7,90,1355,91,421,98.3,16.3,0,188.7,4.51085950651685,4.598145571051127
Volvo,XC40 Recharge,Twin Motor,72.1,300,2170,92,438,29.8,35.8,1,183.4,5.707110264748875,3.427514689979529
Mercedes,EQB,350 4MATIC,58.9,215,2175,92,423,26.9,35.7,2,148.7,5.375278407684165,3.32862668882732
Tata,Nexon EV,Long Range,38.9,105,1610,91,465,71.9,25.1,0,441.75,4.663439094112067,4.289088639014612
Mercedes,EQS SUV,580 4MATIC,107.5,400,2880,94,660,19.6,22.8,1,70.8,5.993961427306569,3.0252910757955354
