make,model,variant,battery_capacity_kWh,motor_power_kW,vehicle_weight_kg,motor_efficiency_pct,ARAI_certified_range_km,avg_driving_speed_kmh,ambient_temperature_C,traffic_condition,real_world_range_km
Toyota,Urban Cruiser EV,Long Range,58.4,144,1740,93,490,83.6,38.2,1,196.5
MG,Windsor EV,Long Range,36.1,100,1490,91,331,33.4,30.4,2,237.0
Citroen,eC3,Feel,26.7,57,1200,89,320,18.4,37.3,0,78.8
Audi,e-tron,55 quattro,86.2,300,2595,92,484,28.7,34.8,1,102.6
Mahindra,XUV400,EC Pro,29.8,110,1560,90,375,95.3,20.9,1,185.8
Volvo,C40 Recharge,Single Motor,64.0,170,1990,92,476,22.7,28.9,1,336.1
Audi,e-tron,55 quattro,77.7,300,2595,92,484,24.4,24.2,1,48.400000000000006
Mahindra,XUV400,EL Pro,35.5,110,1580,90,456,12.7,40.0,2,81.1
Mahindra,XUV400,EC Pro,32.0,110,1560,90,375,55.1,32.2,1,317.7
Audi,e-tron GT,RS,82.2,440,2420,94,481,88.7,36.9,0,306.5
Kia,EV6,Long Range RWD,67.9,168,1980,93,708,33.9,26.2,2,534.3
Tata,Tiago EV,Long Range,23.5,55,1110,90,315,21.4,20.3,0,270.2
BMW,iX,xDrive50,97.0,385,2590,94,635,33.1,28.7,1,584.2
MG,ZS EV,Excite,39.7,130,1590,91,400,93.0,38.9,1,218.0
BMW,i5,eDrive40,75.8,250,2215,94,582,18.1,37.6,0,260.3
Citroen,eC3,Shine,27.0,57,1215,89,320,18.3,31.2,2,111.9
Tata,Tiago EV,Long Range,22.9,55,1110,90,315,33.8,30.8,0,105.2
Hyundai,Ioniq 5,Long Range AWD,72.2,225,2100,93,631,26.1,27.1,2,405.6
Tata,Harrier EV,Long Range,58.4,165,1950,92,500,26.3,10.6,0,127.7
BMW,i5,eDrive40,75.8,250,2215,94,582,19.4,29.0,2,313.3
Toyota,Urban Cruiser EV,Long Range,60.5,144,1740,93,490,32.5,7.5,1,66.0
Tata,Nexon EV,Prime LR,34.4,105,1620,91,465,27.0,26.9,2,136.8
Maruti Suzuki,e Vitara,Medium Range,44.3,106,1620,93,400,80.5,33.8,2,161.3
Rolls-Royce,Spectre,Standard,98.3,430,2975,94,530,39.7,16.4,2,58.7
Hyundai,Ioniq 5,Long Range AWD,72.2,225,2100,93,631,23.0,28.5,1,203.5
Hyundai,Ioniq 5,Long Range RWD,70.2,160,1980,93,631,33.9,26.2,1,599.4499999999999
Mahindra,XUV.e8,Long Range,55.1,175,2050,92,450,34.9,18.6,1,427.5
Tata,Tigor EV,Ziptron,25.9,55,1235,90,306,86.5,38.6,0,196.0
Mahindra,BE 6,Long Range,51.9,175,1850,93,556,18.5,41.4,1,448.2
Audi,Q8 e-tron,55 quattro,90.7,300,2620,93,582,112.8,26.1,0,447.3
Citroen,eC3,Shine,26.3,57,1215,89,320,31.6,23.8,1,76.6
Mahindra,XUV400,EL Pro,34.2,110,1580,90,456,12.7,19.5,2,229.6
Citroen,eC3,Shine,27.3,57,1215,89,320,34.7,28.6,1,304.0
BMW,i7,xDrive60,95.6,400,2720,94,625,20.4,16.4,2,403.5
BMW,i7,xDrive60,90.4,400,2720,94,625,84.9,15.0,0,554.3
MG,Cloud EV,Long Range,50.1,135,1700,91,460,23.3,15.0,0,118.0
Maruti Suzuki,e Vitara,Medium Range,47.5,106,1620,93,400,17.0,23.9,1,69.8
Maruti Suzuki,e Vitara,Long Range,52.4,144,1710,93,500,38.8,14.8,0,202.8
MG,Comet EV,Standard,16.8,30,840,89,230,24.1,25.1,2,148.6
MG,ZS EV,Excite,44.1,130,1590,91,400,18.5,16.8,0,130.9
MG,Comet EV,Standard,15.2,30,840,89,230,18.7,39.9,0,124.1
Porsche,Taycan,4S,76.8,360,2295,94,512,49.4,37.4,1,486.4
Mahindra,XUV400,EL Pro,35.4,110,1580,90,456,22.3,21.4,1,295.4
Mahindra,BE 6,Long Range,53.0,175,1850,93,556,25.3,16.5,1,75.9
BYD,Seal,Dynamic,56.8,150,1860,94,510,36.2,31.0,1,132.4
BMW,i7,xDrive60,90.4,400,2720,94,625,19.6,36.2,2,406.7
Citroen,eC3,Shine,25.4,57,1215,89,320,14.5,18.9,1,274.9
Mahindra,XUV400,EL Pro,34.8,110,1580,90,456,22.3,24.7,2,45.6
BMW,i4,eDrive40,76.1,250,2125,94,590,25.4,21.1,2,257.9
Audi,e-tron,55 quattro,80.5,300,2595,92,484,31.4,24.9,2,193.5
Kia,EV9,Long Range AWD,91.7,283,2630,93,561,24.9,26.8,1,407.4
Porsche,Taycan,4S,69.5,360,2295,94,512,107.7,30.2,0,486.4
Mahindra,BE 6,Long Range,53.9,175,1850,93,556,15.1,15.6,1,490.4
MG,Cloud EV,Long Range,48.6,135,1700,91,460,28.6,35.4,1,437.0
Tata,Nexon EV,Long Range,35.2,105,1610,91,465,100.2,22.6,0,263.1
Mahindra,XUV.e8,Long Range,53.7,175,2050,92,450,28.4,14.0,1,174.4
Porsche,Taycan,4S,68.3,360,2295,94,512,34.3,24.2,1,486.4
Mahindra,XUV.e8,Long Range,52.3,175,2050,92,450,15.5,28.4,1,99.3
Mahindra,XEV 9e,Long Range,50.3,175,1900,93,542,26.2,32.5,1,108.6
Kia,EV9,Long Range AWD,98.3,283,2630,93,561,86.2,25.2,0,360.0
BMW,iX,xDrive50,97.3,385,2590,94,635,19.5,41.1,1,572.1
Volvo,C40 Recharge,Single Motor,59.9,170,1990,92,476,32.9,33.8,1,47.6
Mercedes,EQA,250+,59.3,140,1960,92,528,34.4,35.1,1,406.6
Hyundai,Creta EV,Long Range,49.7,135,1690,92,473,32.7,27.7,2,281.4
MG,ZS EV,Excite,40.2,130,1590,91,400,30.7,21.8,2,263.2
Volvo,XC40 Recharge,Twin Motor,64.0,300,2170,92,438,15.1,20.1,2,104.3
Maruti Suzuki,e Vitara,Medium Range,41.8,106,1620,93,400,31.3,11.1,1,41.2
Citroen,eC3,Feel,26.7,57,1200,89,320,25.7,27.2,0,57.2
Jaguar,I-PACE,EV400,77.6,294,2208,92,470,31.6,40.8,2,153.7
Volvo,XC40 Recharge,Twin Motor,68.0,300,2170,92,438,23.0,31.8,2,219.7
Kia,EV6,Long Range AWD,66.7,239,2140,93,708,31.3,24.7,1,198.2
Porsche,Taycan,4S,79.2,360,2295,94,512,22.6,35.5,1,293.9
MG,Comet EV,Standard,15.6,30,840,89,230,18.9,45.8,2,150.9
BMW,iX1,xDrive30,60.0,230,2080,93,440,32.9,26.5,0,161.3
Mahindra,XEV 9e,Long Range,57.4,175,1900,93,542,24.9,15.9,2,94.8
Tata,Punch EV,Long Range,34.1,90,1355,91,421,18.2,29.9,0,239.3
BYD,Seal,Performance,74.8,390,2150,94,580,19.4,32.6,2,58.0
Tata,Nexon EV,Medium Range,26.8,105,1560,91,325,37.0,35.0,0,106.0
Volvo,XC40 Recharge,Twin Motor,66.5,300,2170,92,438,17.3,42.0,2,135.1
Mercedes,EQA,250+,65.3,140,1960,92,528,15.3,33.1,2,194.4
BYD,Atto 3,Standard Range,46.6,150,1690,92,410,74.3,22.7,0,353.0
MG,Comet EV,Standard,15.5,30,840,89,230,23.8,13.9,2,50.8
Hyundai,Creta EV,Medium Range,38.1,110,1620,92,390,20.2,31.5,2,101.4
Kia,EV9,Long Range AWD,91.7,283,2630,93,561,31.8,19.0,1,318.5
MG,Cloud EV,Long Range,46.7,135,1700,91,460,24.1,23.2,2,294.4
Tata,Nexon EV,Long Range,38.7,105,1610,91,465,27.8,20.1,0,126.1
Jaguar,I-PACE,EV400,83.9,294,2208,92,470,30.8,15.6,2,318.4
Mahindra,XUV400,EL Pro,37.3,110,1580,90,456,52.6,20.8,1,308.9
Audi,Q8 e-tron,55 quattro,91.0,300,2620,93,582,19.0,36.1,2,193.3
Tata,Curvv EV,Long Range,52.2,150,1780,92,585,29.0,40.0,2,159.9
Volvo,C40 Recharge,Single Motor,65.1,170,1990,92,476,20.7,20.5,0,64.8
Citroen,eC3,Feel,25.6,57,1200,89,320,20.9,18.3,0,59.4
Volvo,C40 Recharge,Single Motor,60.3,170,1990,92,476,32.5,16.5,2,63.5
BYD,Seal,Dynamic,55.3,150,1860,94,510,37.1,40.1,2,135.4
Tata,Punch EV,Long Range,30.7,90,1355,91,421,98.3,16.3,0,188.7
Volvo,XC40 Recharge,Twin Motor,72.1,300,2170,92,438,29.8,35.8,1,183.4
Mercedes,EQB,350 4MATIC,58.9,215,2175,92,423,26.9,35.7,2,148.7
Tata,Nexon EV,Long Range,38.9,105,1610,91,465,71.9,25.1,0,441.75
Mercedes,EQS SUV,580 4MATIC,107.5,400,2880,94,660,19.6,22.8,1,70.8
Volvo,XC40 Recharge,Single Motor,65.7,170,2000,92,418,18.1,22.3,2,67.1
Tata,Tiago EV,Medium Range,17.9,45,1073,90,250,28.5,16.5,1,110.5
Mahindra,XUV.e8,Long Range,51.0,175,2050,92,450,16.3,33.4,2,320.4
Mini,Countryman E,ALL4,57.2,230,2055,93,462,12.3,23.4,0,432.9
Mercedes,EQS,580 4MATIC,99.4,385,2710,95,857,14.1,20.8,1,524.6
BYD,eMAX 7,Premium,65.3,150,2135,91,530,19.1,27.9,1,57.7
BYD,Seal,Performance,75.1,390,2150,94,580,17.6,34.8,2,185.3
Mercedes,EQB,350 4MATIC,59.1,215,2175,92,423,17.4,47.0,2,105.6
Kia,EV6,Long Range RWD,71.6,168,1980,93,708,38.3,26.4,2,80.7
Volvo,XC40 Recharge,Single Motor,59.5,170,2000,92,418,19.1,21.3,0,364.8
Mahindra,XUV400,EL Pro,34.9,110,1580,90,456,19.9,28.3,2,216.3
Porsche,Taycan,4S,67.3,360,2295,94,512,22.6,30.6,1,116.8
Mini,Countryman E,ALL4,60.3,230,2055,93,462,34.9,33.2,1,264.7
MG,Cloud EV,Long Range,48.5,135,1700,91,460,12.1,27.4,1,246.6
BMW,i4,eDrive40,73.9,250,2125,94,590,51.3,19.1,1,395.5
Smart,#1 Pro+,Standard,61.3,200,1820,92,440,20.3,32.8,1,241.1
Audi,Q8 e-tron,55 quattro,85.9,300,2620,93,582,22.9,12.5,0,188.8
MG,Comet EV,Standard,15.2,30,840,89,230,20.9,37.7,1,218.5
Tata,Nexon EV,Long Range,39.8,105,1610,91,465,31.9,23.4,1,408.3
BYD,Atto 3,Extended Range,53.4,150,1750,92,521,26.6,15.1,2,124.1
MG,ZS EV,Exclusive,43.1,130,1620,91,461,34.5,13.1,2,67.7
Hyundai,Ioniq 5,Long Range AWD,71.7,225,2100,93,631,97.0,45.0,0,452.3
Mercedes,EQS SUV,580 4MATIC,96.2,400,2880,94,660,31.9,23.0,0,481.9
BMW,i4,eDrive40,73.2,250,2125,94,590,30.2,21.5,0,84.5
Citroen,eC3,Feel,26.7,57,1200,89,320,92.8,15.0,0,180.7
MG,Windsor EV,Long Range,34.6,100,1490,91,331,16.7,19.1,2,217.2
Tata,Nexon EV,Long Range,38.1,105,1610,91,465,17.0,35.7,1,427.5
Jaguar,I-PACE,EV400,73.3,294,2208,92,470,27.2,24.9,2,254.5
Audi,e-tron,55 quattro,75.6,300,2595,92,484,13.7,41.6,0,146.7
BMW,i4,eDrive40,76.6,250,2125,94,590,25.0,37.5,1,105.2
BYD,Seal,Performance,71.9,390,2150,94,580,75.6,25.5,0,522.1
Tata,Nexon EV,Medium Range,28.8,105,1560,91,325,31.4,21.2,2,32.5
Maruti Suzuki,e Vitara,Long Range,59.4,144,1710,93,500,18.5,32.3,2,95.8
Mercedes,EQS SUV,580 4MATIC,95.8,400,2880,94,660,26.6,31.7,0,395.3
Mahindra,BE 6,Long Range,56.4,175,1850,93,556,27.9,13.8,2,265.2
BMW,iX1,xDrive30,60.2,230,2080,93,440,35.7,20.8,2,123.0
Tata,Curvv EV,Long Range,50.9,150,1780,92,585,15.6,26.0,1,427.9
Tata,Punch EV,Long Range,33.8,90,1355,91,421,28.8,20.7,0,210.9
Mercedes,EQA,250+,57.9,140,1960,92,528,28.8,32.3,1,501.6
BYD,e6,GL,68.9,70,2380,88,415,23.0,22.9,2,347.3
Porsche,Taycan,4S,77.5,360,2295,94,512,33.0,23.8,1,122.0
Smart,#1 Pro+,Standard,59.4,200,1820,92,440,14.7,28.9,2,142.8
Mahindra,XEV 9e,Long Range,54.8,175,1900,93,542,15.9,26.4,2,299.3
Maruti Suzuki,e Vitara,Medium Range,46.2,106,1620,93,400,25.9,17.0,0,87.1
Citroen,eC3,Shine,25.8,57,1215,89,320,28.0,27.9,2,157.9
Tata,Nexon EV,Prime LR,36.7,105,1620,91,465,12.0,27.8,1,151.4
Mahindra,XUV.e8,Long Range,57.5,175,2050,92,450,18.2,34.3,2,386.3
MG,Comet EV,Standard,16.1,30,840,89,230,15.9,22.0,2,154.9
Porsche,Taycan,Turbo S,75.4,560,2380,94,507,19.4,30.2,2,133.1
Tata,Punch EV,Long Range,30.0,90,1355,91,421,15.8,38.5,1,380.6
BYD,Seal,Performance,72.1,390,2150,94,580,19.1,25.9,1,551.0
Audi,Q8 e-tron,55 quattro,88.7,300,2620,93,582,27.8,39.9,0,239.5
Tata,Curvv EV,Long Range,53.4,150,1780,92,585,28.1,16.3,0,534.2
BMW,iX,xDrive50,92.9,385,2590,94,635,26.8,36.4,2,194.3
Tata,Curvv EV,Medium Range,43.6,120,1720,92,502,13.6,36.9,1,476.9
BMW,i5,eDrive40,70.2,250,2215,94,582,35.3,23.8,1,489.4
Tata,Curvv EV,Medium Range,41.8,120,1720,92,502,34.1,36.4,1,162.1
MG,Comet EV,Standard,16.5,30,840,89,230,96.1,16.7,0,150.0
Porsche,Taycan,Turbo S,74.9,560,2380,94,507,30.5,26.6,2,315.8
Citroen,eC3,Shine,29.0,57,1215,89,320,19.8,38.5,0,164.5
Jaguar,I-PACE,EV400,79.6,294,2208,92,470,34.1,37.8,1,304.7
Rolls-Royce,Spectre,Standard,94.7,430,2975,94,530,27.6,13.8,2,380.9
BYD,Seal,Dynamic,56.1,150,1860,94,510,26.4,20.7,2,51.0
Mercedes,EQS,580 4MATIC,99.7,385,2710,95,857,22.3,25.0,1,372.0
Kia,EV9,Long Range AWD,90.5,283,2630,93,561,21.2,21.9,2,86.7
Volvo,C40 Recharge,Single Motor,62.0,170,1990,92,476,36.2,41.4,0,347.3
MG,Windsor EV,Long Range,32.4,100,1490,91,331,25.8,21.3,2,170.5
Mahindra,XUV400,EC Pro,34.3,110,1560,90,375,36.1,36.4,2,103.7
Tata,Tiago EV,Medium Range,17.9,45,1073,90,250,28.5,17.8,0,71.1
Audi,Q8 e-tron,55 quattro,93.9,300,2620,93,582,88.5,41.0,1,315.9
Toyota,Urban Cruiser EV,Long Range,53.1,144,1740,93,490,24.4,34.4,1,146.4
Tata,Tiago EV,Long Range,22.3,55,1110,90,315,18.0,33.4,0,98.7
BYD,Seal,Performance,76.8,390,2150,94,580,28.0,37.1,2,179.0
Tata,Tigor EV,Ziptron,24.6,55,1235,90,306,25.0,26.3,0,101.4
Maruti Suzuki,e Vitara,Medium Range,45.3,106,1620,93,400,25.3,24.5,1,162.4
MG,Windsor EV,Long Range,37.8,100,1490,91,331,110.8,20.3,1,141.4
Tata,Punch EV,Smart,23.5,60,1280,90,315,25.4,12.6,2,152.8
Mercedes,EQA,250+,61.7,140,1960,92,528,17.0,35.0,2,501.6
Hyundai,Ioniq 5,Long Range RWD,62.6,160,1980,93,631,27.8,28.7,0,137.5
BMW,i7,xDrive60,92.2,400,2720,94,625,17.8,27.9,2,229.4
Tata,Tiago EV,Long Range,23.1,55,1110,90,315,31.4,29.6,0,62.7
Tata,Curvv EV,Long Range,51.4,150,1780,92,585,87.0,40.8,0,297.9
MG,Cloud EV,Long Range,46.3,135,1700,91,460,33.7,37.1,2,173.9
BMW,i5,eDrive40,79.0,250,2215,94,582,23.6,39.1,2,161.8
BYD,e6,GL,63.5,70,2380,88,415,24.0,20.7,1,91.0
Mahindra,XUV400,EC Pro,33.2,110,1560,90,375,15.8,35.6,2,101.1
Mercedes,EQA,250+,62.7,140,1960,92,528,21.8,34.9,2,408.8
Kia,EV9,Long Range AWD,98.6,283,2630,93,561,37.2,18.6,2,74.5
Hyundai,Creta EV,Long Range,45.1,135,1690,92,473,22.1,19.2,0,189.5
Porsche,Taycan,4S,75.2,360,2295,94,512,24.6,24.0,2,79.1
